total_nacional_region,comuna_4_5,especie_6,total_numero_de_upa78,total_superficie_cultivo_ha
Región de Atacama,Total Región,Álamo,6,0.66
Región de Atacama,Total Región,Aromo,1,0.5
Región de Atacama,Total Región,Atriplex sp,0,0
Región de Atacama,Total Región,Eucalipto Blanco (Eucalyptus Globulus),42,36.08
Región de Atacama,Total Región,Eucalyptus Nitens,8,4.98
Región de Atacama,Total Región,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Atacama,Total Región,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Atacama,Total Región,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Atacama,Total Región,Coigüe,0,0
Región de Atacama,Total Región,Quillay,0,0
Región de Atacama,Total Región,Raulí,0,0
Región de Atacama,Total Región,Tamarugo,0,0
Región de Atacama,Total Región,Otras Especies Exóticas,1,1
Región de Atacama,Total Región,Otras Coníferas,0,0
Región de Atacama,Total Región,Otras Especies Nativas,4,24.725
Región de Atacama,Total Región,Especie Nativa y Especie Exótica,0,0
Región de Atacama,Tierra Amarilla,Total,1,0.725
Región de Atacama,Tierra Amarilla,Sin clasificar,0,0
Región de Atacama,Tierra Amarilla,Acacia,0,0
Región de Atacama,Tierra Amarilla,Álamo,0,0
Región de Atacama,Tierra Amarilla,Aromo,0,0
Región de Atacama,Tierra Amarilla,Atriplex sp,0,0
Región de Atacama,Tierra Amarilla,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Atacama,Tierra Amarilla,Eucalyptus Nitens,0,0
Región de Atacama,Tierra Amarilla,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Atacama,Tierra Amarilla,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Atacama,Tierra Amarilla,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Atacama,Tierra Amarilla,Coigüe,0,0
Región de Atacama,Tierra Amarilla,Quillay,0,0
Región de Atacama,Tierra Amarilla,Raulí,0,0
Región de Atacama,Tierra Amarilla,Tamarugo,0,0
Región de Atacama,Tierra Amarilla,Otras Especies Exóticas,0,0
Región de Atacama,Tierra Amarilla,Otras Coníferas,0,0
Región de Atacama,Tierra Amarilla,Otras Especies Nativas,1,0.725
